Fluticasone Propionate|415.97|154|
Glipizide|490.60|786|
Symbicort|57.25|154|
Hydrocodone/APAP|577.95|671|
Sulfamethoxazole/Trimethoprim|158.46|646|
Prednisone|250.28|844|
Fluconazole|362.01|598|
Lovaza|166.14|632|
Gabapentin|368.84|722|
Simvastatin|76.47|559|
Lisinopril|258.87|791|
Sulfamethoxazole/Trimethoprim|7.08|140|
Cialis|886.59|449|
Celebrex|734.71|851|
Ibuprofen (Rx)|501.57|44|
Alendronate Sodium|702.13|917|
Albuterol|448.94|751|
Lorazepam|473.97|638|
Lorazepam|200.53|321|
Citalopram HBr|503.81|519|
Oxycodone HCl|460.45|259|
Metformin HCl|786.75|100|
Metoprolol Tartrate |851.82|48|
Furosemide|793.35|347|
Atenolol|129.55|99|
Ventolin HFA|576.92|729|
Fluticasone Propionate|728.20|519|
Nexium|691.87|67|
Lorazepam|480.93|798|
Warfarin Sodium|73.91|916|
Lisinopril|221.41|24|
Abilify|141.92|111|
Cyclobenzaprin HCl|207.88|294|
Zolpidem Tartrate|149.47|485|
Methylprednisolone|828.89|511|
Simvastatin|681.07|340|
Risperidone|879.66|188|
Gabapentin|470.99|799|
Risperidone|559.56|407|
Pantoprazole Sodium|500.92|524|
Alprazolam|858.63|569|
Pravastatin Sodium|595.59|910|
Fluticasone Propionate|11.99|680|
Oxycodone/APAP|287.17|351|
Lisinopril|516.01|811|
Flovent HFA|299.67|817|
Bystolic|483.10|198|
Lorazepam|164.58|719|
Zyprexa|511.69|111|
Hydrochlorothiazide|313.09|737|
Metoprolol Succinate|843.72|429|
Metoprolol Succinate|765.41|148|
Alendronate Sodium|228.03|200|
Diovan|193.20|360|
Amphetamine Salts|463.26|820|
Tricor|812.25|218|
Zolpidem Tartrate|8.04|533|
Ciprofloxacin HCl|665.10|467|
Simvastatin|100.44|197|
Lyrica|591.24|390|
Metoprolol Tartrate |3.64|847|
Amoxicillin Trihydrate/Potassium Clavulanate|510.03|536|
Benicar HCT|865.93|734|
Fluoxetine HCl|635.27|267|
Clindamycin HCl|744.01|989|
Promethazine HCl|754.09|37|
Alprazolam|529.99|176|
Niaspan|508.20|697|
Alprazolam|366.21|217|
Alendronate Sodium|158.88|340|
Triamterene/Hydrochlorothiazide|757.64|395|
Lexapro|828.45|812|
Clindamycin HCl|738.51|765|
Amlodipine Besylate|240.80|598|
Spiriva Handihaler|810.51|418|
Gianvi|262.37|232|
Potassium Chloride|342.15|475|
Hydrocodone/APAP|479.52|233|
Amoxicillin Trihydrate/Potassium Clavulanate|603.93|518|
Tramadol HCl|689.81|637|
Glyburide|341.41|658|
Venlafaxine HCl ER|608.18|840|
Actos|557.35|231|
Prednisone|723.60|698|
Fluticasone Propionate|865.43|411|
Pravastatin Sodium|563.84|248|
Lisinopril|653.11|292|
Amlodipine Besylate|754.19|318|
Furosemide|141.02|411|
Alendronate Sodium|578.36|599|
Hydrocodone/APAP|561.24|697|
Tamsulosin HCl|100.36|660|
Actos|640.46|800|
Potassium Chloride|336.09|553|
Zyprexa|337.08|550|
Amoxicillin|19.51|17|
Simvastatin|36.03|558|
Potassium Chloride|189.59|564|
Simvastatin|528.09|287|
Loestrin 24 Fe|708.31|56|
